1.741,1.741,1.741
-0.177061,-0.177061,-1.91806
-2.12464,-2.12464,-1.94758
-2.03115,-3.77215,-2.03115
-1.64779,-1.47073,0.383357
-0.027568,2.09707,1.62022
1.20523,3.23638,1.20523
1.40952,3.05731,0.204287
-1.47177,-1.44421,-2.88129
-0.0573266,1.68368,1.68368
0.0185616,-0.158499,-1.84218
3.26385,1.13922,1.29772
0.334259,-3.38057,-1.69689
0.411453,-1.07784,0.46055
-1.42241,-2.5892,-0.213644
-1.08432,1.8178,0.120917
-2.91015,-0.264294,-1.62155
3.76805,3.74626,3.79691
0.633418,2.31709,2.31709
-2.06509,-2.22359,-4.54068
-0.222525,0.916691,3.14028
3.96325,-0.0507366,2.26636
2.90252,3.88977,-0.600179
0.101819,-2.26485,-3.01434
-0.741279,-2.88672,-0.620362
3.16271,-0.00409995,2.28244
-3.87082,-0.226379,-3.23662